N,Best Case,Worst Case, Average Case
426,1,19,14.845070422535212
427,1,19,14.850117096018735
428,1,19,14.855140186915888
429,1,19,14.86013986013986
430,1,19,14.832558139534884
431,1,19,14.842227378190255
432,1,19,14.851851851851851
433,1,19,14.856812933025404
434,1,19,14.861751152073733
435,1,19,14.862068965517242
436,1,19,14.871559633027523
437,1,19,14.881006864988558
438,1,19,14.89041095890411
439,1,19,14.895216400911162
440,1,19,14.9
441,1,19,14.909297052154194
442,1,19,14.914027149321267
443,1,19,14.923250564334086
444,1,19,14.932432432432432
445,1,19,14.941573033707865
446,1,19,14.946188340807176
447,1,19,14.955257270693512
448,1,19,14.959821428571429
449,1,19,14.964365256124722
450,1,19,14.973333333333333
451,1,19,14.977827050997783
452,1,19,14.982300884955752
453,1,19,14.991169977924946
454,1,19,15.0
455,1,19,15.004395604395604
456,1,19,15.008771929824562
457,1,19,15.013129102844639
458,1,19,15.02183406113537
459,1,19,15.030501089324618
460,1,19,15.039130434782608
461,1,19,15.043383947939262
462,1,19,15.047619047619047
463,1,19,15.051835853131749
464,1,19,15.060344827586206
465,1,19,15.068817204301075
466,1,19,15.072961373390559
467,1,19,15.0813704496788
468,1,19,15.08974358974359
469,1,19,15.093816631130064
470,1,19,15.102127659574467
471,1,19,15.110403397027602
472,1,19,15.11864406779661
473,1,19,15.12262156448203
474,1,19,15.126582278481013
475,1,19,15.134736842105264
476,1,19,15.142857142857142
477,1,19,15.150943396226415
478,1,19,15.154811715481172
479,1,19,15.15866388308977
480,1,19,15.166666666666666
481,1,19,15.170478170478171
482,1,19,15.174273858921161
483,1,19,15.178053830227743
484,1,19,15.185950413223141
485,1,19,15.19381443298969
486,1,19,15.201646090534979
487,1,21,15.213552361396303
488,1,21,15.221311475409836
489,1,21,15.224948875255624
490,1,21,15.23265306122449
491,1,21,15.240325865580449
492,1,21,15.247967479674797
493,1,21,15.255578093306289
494,1,21,15.263157894736842
495,1,21,15.266666666666667
496,1,21,15.27016129032258
497,1,21,15.273641851106639
498,1,21,15.281124497991968
499,1,21,15.288577154308618
500,1,21,15.296
