N,Best Case,Worst Case, Average Case
357,1,22,15.529411764705882
358,1,22,15.533519553072626
359,1,22,15.540389972144848
360,1,22,15.55
361,1,22,15.5595567867036
362,1,22,15.566298342541437
363,1,22,15.575757575757576
364,1,22,15.57967032967033
365,1,22,15.583561643835617
366,1,22,15.587431693989071
367,1,22,15.596730245231608
368,1,22,15.605978260869565
369,1,22,15.617886178861788
370,1,22,15.621621621621621
371,1,22,15.63611859838275
372,1,22,15.653225806451612
373,1,22,15.656836461126005
374,1,22,15.66042780748663
375,1,22,15.669333333333332
376,1,22,15.672872340425531
377,1,22,15.681697612732096
378,1,22,15.69047619047619
379,1,22,15.699208443271768
380,1,22,15.707894736842105
381,1,22,15.724409448818898
382,1,22,15.732984293193716
383,1,22,15.741514360313316
384,1,22,15.744791666666666
385,1,22,15.748051948051948
386,1,22,15.761658031088082
387,1,22,15.772609819121447
388,1,22,15.783505154639176
389,1,22,15.7866323907455
390,1,22,15.8
391,1,22,15.815856777493606
392,1,22,15.826530612244898
393,1,22,15.834605597964376
394,1,22,15.842639593908629
395,1,22,15.850632911392404
396,1,22,15.86111111111111
397,1,22,15.869017632241814
398,1,22,15.884422110552764
399,1,22,15.887218045112782
400,1,22,15.895
401,1,22,15.905236907730673
402,1,22,15.912935323383085
403,1,22,15.915632754342433
404,1,22,15.923267326732674
405,1,22,15.933333333333334
406,1,22,15.935960591133005
407,1,22,15.943488943488944
408,1,22,15.950980392156863
409,1,22,15.95843520782396
410,1,22,15.965853658536586
411,1,22,15.968369829683699
412,1,22,15.978155339805825
413,1,22,15.98547215496368
414,1,22,16.0
415,1,22,16.012048192771083
416,1,22,16.021634615384617
417,1,22,16.023980815347723
418,1,22,16.026315789473685
419,1,22,16.033412887828163
420,1,22,16.04047619047619
421,1,22,16.052256532066508
422,1,22,16.061611374407583
423,1,22,16.06855791962175
424,1,22,16.080188679245282
425,1,22,16.08235294117647
426,1,22,16.079812206572768
427,1,22,16.081967213114755
428,1,22,16.0911214953271
429,1,22,16.093240093240095
430,1,22,16.106976744186046
431,1,22,16.11368909512761
432,1,22,16.125
433,1,22,16.1270207852194
434,1,22,16.13364055299539
435,1,22,16.131034482758622
436,1,22,16.139908256880734
437,1,22,16.14645308924485
438,1,22,16.159817351598175
439,1,22,16.168564920273347
440,1,22,16.170454545454547
441,1,22,16.183673469387756
442,1,22,16.192307692307693
443,1,22,16.205417607223477
444,1,22,16.21171171171171
445,1,22,16.217977528089886
446,1,22,16.22421524663677
447,1,22,16.23042505592841
448,1,22,16.236607142857142
449,1,22,16.238307349665924
450,1,22,16.244444444444444
451,1,22,16.254988913525498
452,1,22,16.263274336283185
453,1,22,16.26931567328918
454,1,22,16.27533039647577
455,1,22,16.276923076923076
456,1,22,16.278508771929825
457,1,22,16.280087527352297
458,1,22,16.286026200873362
459,1,22,16.29193899782135
460,1,22,16.297826086956523
461,1,22,16.305856832971802
462,1,22,16.307359307359306
463,1,22,16.31317494600432
464,1,22,16.31896551724138
465,1,22,16.331182795698926
466,1,22,16.339055793991417
467,1,22,16.35117773019272
468,1,22,16.35683760683761
469,1,22,16.362473347547976
470,1,22,16.368085106382978
471,1,22,16.373673036093418
472,1,22,16.37923728813559
473,1,22,16.380549682875266
474,1,22,16.38607594936709
475,1,22,16.391578947368423
476,1,22,16.40126050420168
477,1,22,16.40670859538784
478,1,22,16.40794979079498
479,1,22,16.41544885177453
480,1,22,16.425
481,1,22,16.43035343035343
482,1,22,16.431535269709542
483,1,22,16.438923395445133
484,1,22,16.444214876033058
485,1,22,16.449484536082473
486,1,22,16.46090534979424
487,1,22,16.470225872689937
488,1,22,16.48155737704918
489,1,22,16.482617586912067
490,1,22,16.487755102040815
491,1,22,16.492871690427698
492,1,22,16.502032520325205
493,1,22,16.50709939148073
494,1,22,16.512145748987855
495,1,22,16.523232323232325
496,1,22,16.528225806451612
497,1,22,16.52917505030181
498,1,22,16.54016064257028
499,1,22,16.54509018036072
500,1,22,16.55
